13.85.16.238 - - [02/Apr/2017:00:44:09 -0600] "HEAD /Promocion/finish.do HTTP/1.1" 405 -
66.102.6.6 - - [02/Apr/2017:14:53:27 -0500] "GET /Promocion/login.do HTTP/1.1" 302 -
66.102.6.8 - - [02/Apr/2017:14:53:27 -0500] "GET /Promocion/finish.do HTTP/1.1" 200 12084
66.102.6.4 - - [02/Apr/2017:14:53:28 -0500] "GET /Promocion/resources/css/styles.css HTTP/1.1" 304 -
66.102.6.8 - - [02/Apr/2017:14:53:28 -0500] "GET /Promocion/resources/js/bootstrap.min.js HTTP/1.1" 304 -
66.102.6.6 - - [02/Apr/2017:14:53:28 -0500] "GET /Promocion/resources/js/bootstrap-session-timeout.js HTTP/1.1" 304 -
66.102.6.8 - - [02/Apr/2017:14:53:28 -0500] "GET /Promocion/resources/js/bootstrap-select.min.js HTTP/1.1" 304 -
66.102.6.6 - - [02/Apr/2017:14:53:28 -0500] "GET /Promocion/resources/css/sweetalert.css HTTP/1.1" 304 -
66.102.6.8 - - [02/Apr/2017:14:53:28 -0500] "GET /Promocion/resources/js/sweetalert.min.js HTTP/1.1" 304 -
66.102.6.8 - - [02/Apr/2017:14:53:28 -0500] "GET /Promocion/resources/js/jquery.twbsPagination.js HTTP/1.1" 304 -
66.102.6.8 - - [02/Apr/2017:14:53:28 -0500] "GET /Promocion/resources/css/bootstrap-select.min.css HTTP/1.1" 304 -
66.102.6.6 - - [02/Apr/2017:14:53:28 -0500] "GET /Promocion/resources/js/functions-system.js HTTP/1.1" 304 -
66.102.6.4 - - [02/Apr/2017:14:53:30 -0500] "GET /Promocion/img/apple-touch-icon.png HTTP/1.1" 404 12314
66.102.6.6 - - [02/Apr/2017:14:53:30 -0500] "GET /Promocion/img/favicon.ico HTTP/1.1" 404 12314
66.102.6.8 - - [02/Apr/2017:14:54:19 -0500] "GET /Promocion/ HTTP/1.1" 200 182
66.102.6.4 - - [02/Apr/2017:14:54:22 -0500] "GET /Promocion/registro/index.do HTTP/1.1" 200 16610
