189.195.80.66 - - [01/Apr/2017:07:24:13 -0600] "GET /Promocion/resources/js/bootstrap-select.min.js HTTP/1.1" 304 -
189.195.80.66 - - [01/Apr/2017:07:24:13 -0600] "GET /Promocion/resources/js/sweetalert.min.js HTTP/1.1" 304 -
189.195.80.66 - - [01/Apr/2017:07:24:13 -0600] "GET /Promocion/resources/js/jquery.twbsPagination.js HTTP/1.1" 304 -
189.195.80.66 - - [01/Apr/2017:07:24:13 -0600] "GET /Promocion/resources/js/bootstrap-session-timeout.js HTTP/1.1" 304 -
189.195.80.66 - - [01/Apr/2017:07:24:13 -0600] "GET /Promocion/resources/js/functions-system.js HTTP/1.1" 304 -
189.195.80.66 - - [01/Apr/2017:07:24:18 -0600] "GET /Promocion/img/favicon.ico HTTP/1.1" 404 12314
189.195.80.66 - - [01/Apr/2017:07:24:18 -0600] "GET /Promocion/img/apple-touch-icon.png HTTP/1.1" 404 12314
189.195.80.66 - - [01/Apr/2017:07:24:21 -0600] "GET /Promocion/registro/index.do HTTP/1.1" 200 16610
189.195.80.66 - - [01/Apr/2017:07:24:26 -0600] "GET /Promocion/registro/img/favicon.ico HTTP/1.1" 404 12314
189.195.80.66 - - [01/Apr/2017:07:24:26 -0600] "GET /Promocion/registro/img/apple-touch-icon.png HTTP/1.1" 404 12314
189.195.80.66 - - [01/Apr/2017:07:25:26 -0600] "GET /Promocion/ HTTP/1.1" 200 182
189.195.80.66 - - [01/Apr/2017:07:25:27 -0600] "GET /Promocion/registro/index.do HTTP/1.1" 200 16610
189.195.80.66 - - [01/Apr/2017:07:25:28 -0600] "GET /Promocion/resources/css/bootstrap-select.min.css HTTP/1.1" 304 -
189.195.80.66 - - [01/Apr/2017:07:25:28 -0600] "GET /Promocion/resources/css/sweetalert.css HTTP/1.1" 304 -
189.195.80.66 - - [01/Apr/2017:07:25:28 -0600] "GET /Promocion/resources/css/styles.css HTTP/1.1" 304 -
189.195.80.66 - - [01/Apr/2017:07:25:28 -0600] "GET /Promocion/resources/js/bootstrap.min.js HTTP/1.1" 304 -
189.195.80.66 - - [01/Apr/2017:07:25:28 -0600] "GET /Promocion/resources/js/bootstrap-select.min.js HTTP/1.1" 304 -
189.195.80.66 - - [01/Apr/2017:07:25:28 -0600] "GET /Promocion/resources/js/sweetalert.min.js HTTP/1.1" 304 -
189.195.80.66 - - [01/Apr/2017:07:25:28 -0600] "GET /Promocion/resources/js/jquery.twbsPagination.js HTTP/1.1" 304 -
189.195.80.66 - - [01/Apr/2017:07:25:28 -0600] "GET /Promocion/resources/js/bootstrap-session-timeout.js HTTP/1.1" 304 -
189.195.80.66 - - [01/Apr/2017:07:25:28 -0600] "GET /Promocion/resources/js/functions-system.js HTTP/1.1" 304 -
189.195.80.66 - - [01/Apr/2017:07:25:45 -0600] "GET /Promocion/login.do HTTP/1.1" 302 -
189.195.80.66 - - [01/Apr/2017:07:25:46 -0600] "GET /Promocion/finish.do HTTP/1.1" 200 12084
189.195.80.66 - - [01/Apr/2017:07:25:46 -0600] "GET /Promocion/resources/css/bootstrap-select.min.css HTTP/1.1" 304 -
189.195.80.66 - - [01/Apr/2017:07:25:46 -0600] "GET /Promocion/resources/css/sweetalert.css HTTP/1.1" 304 -
189.195.80.66 - - [01/Apr/2017:07:25:46 -0600] "GET /Promocion/resources/css/styles.css HTTP/1.1" 304 -
189.195.80.66 - - [01/Apr/2017:07:25:47 -0600] "GET /Promocion/resources/js/bootstrap.min.js HTTP/1.1" 304 -
189.195.80.66 - - [01/Apr/2017:07:25:47 -0600] "GET /Promocion/resources/js/bootstrap-select.min.js HTTP/1.1" 304 -
189.195.80.66 - - [01/Apr/2017:07:25:47 -0600] "GET /Promocion/resources/js/sweetalert.min.js HTTP/1.1" 304 -
189.195.80.66 - - [01/Apr/2017:07:25:47 -0600] "GET /Promocion/resources/js/jquery.twbsPagination.js HTTP/1.1" 304 -
189.195.80.66 - - [01/Apr/2017:07:25:47 -0600] "GET /Promocion/resources/js/bootstrap-session-timeout.js HTTP/1.1" 304 -
189.195.80.66 - - [01/Apr/2017:07:25:47 -0600] "GET /Promocion/resources/js/functions-system.js HTTP/1.1" 304 -
189.195.80.66 - - [01/Apr/2017:07:25:54 -0600] "GET /Promocion/registro/index.do HTTP/1.1" 200 16610
189.195.80.66 - - [01/Apr/2017:07:31:46 -0600] "GET /Promocion/registro/index.do HTTP/1.1" 200 16610
189.247.14.68 - - [01/Apr/2017:08:37:02 -0600] "GET /Promocion/registro/index.do HTTP/1.1" 200 16610
8.21.198.218 - - [01/Apr/2017:09:25:26 -0600] "GET /Promocion/finish.do HTTP/1.1" 200 12084
189.167.110.36 - - [01/Apr/2017:10:52:58 -0600] "GET /Promocion/ HTTP/1.1" 200 182
189.167.110.36 - - [01/Apr/2017:10:52:58 -0600] "GET /Promocion/registro/index.do HTTP/1.1" 200 16610
189.167.110.36 - - [01/Apr/2017:10:52:59 -0600] "GET /Promocion/resources/css/bootstrap-select.min.css HTTP/1.1" 200 6432
189.167.110.36 - - [01/Apr/2017:10:52:59 -0600] "GET /Promocion/resources/css/styles.css HTTP/1.1" 200 2622
189.167.110.36 - - [01/Apr/2017:10:52:59 -0600] "GET /Promocion/resources/css/sweetalert.css HTTP/1.1" 200 22957
189.167.110.36 - - [01/Apr/2017:10:53:00 -0600] "GET /Promocion/resources/js/bootstrap.min.js HTTP/1.1" 200 37045
189.167.110.36 - - [01/Apr/2017:10:53:00 -0600] "GET /Promocion/resources/js/bootstrap-select.min.js HTTP/1.1" 200 33933
189.167.110.36 - - [01/Apr/2017:10:53:00 -0600] "GET /Promocion/resources/js/sweetalert.min.js HTTP/1.1" 200 16994
189.167.110.36 - - [01/Apr/2017:10:53:00 -0600] "GET /Promocion/resources/js/jquery.twbsPagination.js HTTP/1.1" 200 11482
189.167.110.36 - - [01/Apr/2017:10:53:00 -0600] "GET /Promocion/resources/js/bootstrap-session-timeout.js HTTP/1.1" 200 10199
189.167.110.36 - - [01/Apr/2017:10:53:00 -0600] "GET /Promocion/resources/js/functions-system.js HTTP/1.1" 200 3510
189.167.110.36 - - [01/Apr/2017:10:53:02 -0600] "GET /Promocion/registro/img/favicon.ico HTTP/1.1" 404 12314
189.216.205.59 - - [01/Apr/2017:11:06:13 -0600] "GET /Promocion/ HTTP/1.1" 200 182
189.216.205.59 - - [01/Apr/2017:11:06:15 -0600] "GET /Promocion/registro/index.do HTTP/1.1" 200 16610
189.216.205.59 - - [01/Apr/2017:11:06:15 -0600] "GET /Promocion/resources/css/bootstrap-select.min.css HTTP/1.1" 200 6432
189.216.205.59 - - [01/Apr/2017:11:06:15 -0600] "GET /Promocion/resources/css/styles.css HTTP/1.1" 200 2622
189.216.205.59 - - [01/Apr/2017:11:06:15 -0600] "GET /Promocion/resources/css/sweetalert.css HTTP/1.1" 200 22957
189.216.205.59 - - [01/Apr/2017:11:06:17 -0600] "GET /Promocion/resources/js/bootstrap-select.min.js HTTP/1.1" 200 33933
189.216.205.59 - - [01/Apr/2017:11:06:17 -0600] "GET /Promocion/resources/js/bootstrap.min.js HTTP/1.1" 200 37045
189.216.205.59 - - [01/Apr/2017:11:06:17 -0600] "GET /Promocion/resources/js/sweetalert.min.js HTTP/1.1" 200 16994
189.216.205.59 - - [01/Apr/2017:11:06:17 -0600] "GET /Promocion/resources/js/jquery.twbsPagination.js HTTP/1.1" 200 11482
189.216.205.59 - - [01/Apr/2017:11:06:17 -0600] "GET /Promocion/resources/js/bootstrap-session-timeout.js HTTP/1.1" 200 10199
189.216.205.59 - - [01/Apr/2017:11:06:18 -0600] "GET /Promocion/resources/js/functions-system.js HTTP/1.1" 200 3510
189.216.205.59 - - [01/Apr/2017:11:06:27 -0600] "GET /Promocion/login.do HTTP/1.1" 302 -
189.216.205.59 - - [01/Apr/2017:11:06:27 -0600] "GET /Promocion/finish.do HTTP/1.1" 200 12084
189.216.205.59 - - [01/Apr/2017:11:06:27 -0600] "GET /Promocion/resources/css/bootstrap-select.min.css HTTP/1.1" 304 -
189.216.205.59 - - [01/Apr/2017:11:06:27 -0600] "GET /Promocion/resources/css/sweetalert.css HTTP/1.1" 304 -
189.216.205.59 - - [01/Apr/2017:11:06:27 -0600] "GET /Promocion/resources/css/styles.css HTTP/1.1" 304 -
189.216.205.59 - - [01/Apr/2017:11:06:27 -0600] "GET /Promocion/resources/js/bootstrap-select.min.js HTTP/1.1" 304 -
189.216.205.59 - - [01/Apr/2017:11:06:28 -0600] "GET /Promocion/resources/js/sweetalert.min.js HTTP/1.1" 304 -
189.216.205.59 - - [01/Apr/2017:11:06:28 -0600] "GET /Promocion/resources/js/jquery.twbsPagination.js HTTP/1.1" 304 -
189.216.205.59 - - [01/Apr/2017:11:06:28 -0600] "GET /Promocion/resources/js/bootstrap-session-timeout.js HTTP/1.1" 304 -
189.216.205.59 - - [01/Apr/2017:11:06:28 -0600] "GET /Promocion/resources/js/functions-system.js HTTP/1.1" 304 -
189.216.205.59 - - [01/Apr/2017:11:06:28 -0600] "GET /Promocion/resources/js/bootstrap.min.js HTTP/1.1" 304 -
189.216.205.59 - - [01/Apr/2017:11:06:39 -0600] "GET /Promocion/login.do HTTP/1.1" 302 -
189.216.205.59 - - [01/Apr/2017:11:06:39 -0600] "GET /Promocion/finish.do HTTP/1.1" 200 12084
189.216.205.59 - - [01/Apr/2017:11:06:40 -0600] "GET /Promocion/resources/css/bootstrap-select.min.css HTTP/1.1" 304 -
189.216.205.59 - - [01/Apr/2017:11:06:40 -0600] "GET /Promocion/resources/css/styles.css HTTP/1.1" 304 -
