189.225.207.3 - - [30/May/2017:11:44:45 -0500] "GET /Promocion/resources/cms_files/tickets/7791ef5f-d192-497c-a434-4647683d5cc8-thumbnail.jpg HTTP/1.1" 200 36622
189.225.207.3 - - [30/May/2017:11:44:46 -0500] "GET /Promocion/resources/cms_files/tickets/ef99fabe-68f2-4a5a-a8ff-4903f5eda94c-thumbnail.jpg HTTP/1.1" 200 152759
189.225.207.3 - - [30/May/2017:11:44:47 -0500] "GET /Promocion/admin/ticket/img/favicon.ico HTTP/1.1" 404 12314
189.225.207.3 - - [30/May/2017:11:45:10 -0500] "GET /Promocion/login.do HTTP/1.1" 200 13022
189.225.207.3 - - [30/May/2017:11:45:10 -0500] "GET /Promocion/resources/css/bootstrap-select.min.css HTTP/1.1" 304 -
189.225.207.3 - - [30/May/2017:11:45:10 -0500] "GET /Promocion/resources/css/sweetalert.css HTTP/1.1" 304 -
189.225.207.3 - - [30/May/2017:11:45:10 -0500] "GET /Promocion/resources/css/styles.css HTTP/1.1" 304 -
189.225.207.3 - - [30/May/2017:11:45:10 -0500] "GET /Promocion/resources/js/bootstrap.min.js HTTP/1.1" 304 -
189.225.207.3 - - [30/May/2017:11:45:10 -0500] "GET /Promocion/resources/js/bootstrap-select.min.js HTTP/1.1" 304 -
189.225.207.3 - - [30/May/2017:11:45:10 -0500] "GET /Promocion/resources/js/sweetalert.min.js HTTP/1.1" 304 -
189.225.207.3 - - [30/May/2017:11:45:10 -0500] "GET /Promocion/resources/js/jquery.twbsPagination.js HTTP/1.1" 304 -
189.225.207.3 - - [30/May/2017:11:45:10 -0500] "GET /Promocion/resources/js/bootstrap-session-timeout.js HTTP/1.1" 304 -
189.225.207.3 - - [30/May/2017:11:45:10 -0500] "GET /Promocion/resources/js/functions-system.js HTTP/1.1" 304 -
189.225.207.3 - - [30/May/2017:11:45:11 -0500] "GET /Promocion/img/favicon.ico HTTP/1.1" 404 12314
189.225.207.3 - - [30/May/2017:11:45:15 -0500] "POST /Promocion/login HTTP/1.1" 302 -
189.225.207.3 - - [30/May/2017:11:45:15 -0500] "GET /Promocion/login-failure.do HTTP/1.1" 302 -
189.225.207.3 - - [30/May/2017:11:45:15 -0500] "GET /Promocion/login.do HTTP/1.1" 200 13363
189.225.207.3 - - [30/May/2017:11:45:16 -0500] "GET /Promocion/resources/css/bootstrap-select.min.css HTTP/1.1" 304 -
189.225.207.3 - - [30/May/2017:11:45:16 -0500] "GET /Promocion/resources/css/sweetalert.css HTTP/1.1" 304 -
189.225.207.3 - - [30/May/2017:11:45:16 -0500] "GET /Promocion/resources/css/styles.css HTTP/1.1" 304 -
189.225.207.3 - - [30/May/2017:11:45:16 -0500] "GET /Promocion/resources/js/bootstrap.min.js HTTP/1.1" 304 -
189.225.207.3 - - [30/May/2017:11:45:16 -0500] "GET /Promocion/resources/js/bootstrap-select.min.js HTTP/1.1" 304 -
189.225.207.3 - - [30/May/2017:11:45:16 -0500] "GET /Promocion/resources/js/sweetalert.min.js HTTP/1.1" 304 -
189.225.207.3 - - [30/May/2017:11:45:16 -0500] "GET /Promocion/resources/js/jquery.twbsPagination.js HTTP/1.1" 304 -
189.225.207.3 - - [30/May/2017:11:45:16 -0500] "GET /Promocion/resources/js/bootstrap-session-timeout.js HTTP/1.1" 304 -
189.225.207.3 - - [30/May/2017:11:45:16 -0500] "GET /Promocion/resources/js/functions-system.js HTTP/1.1" 304 -
189.225.207.3 - - [30/May/2017:11:45:24 -0500] "POST /Promocion/login HTTP/1.1" 302 -
189.225.207.3 - - [30/May/2017:11:45:25 -0500] "GET /Promocion/login-failure.do HTTP/1.1" 302 -
189.225.207.3 - - [30/May/2017:11:45:25 -0500] "GET /Promocion/login.do HTTP/1.1" 200 13363
189.225.207.3 - - [30/May/2017:11:45:25 -0500] "GET /Promocion/resources/css/bootstrap-select.min.css HTTP/1.1" 304 -
